Recall,Precision,Threshold
1.0,0.00010081051655308682,1.1709567537129408e-16
1.0,0.00010081254914611771,1.2038930942598358e-16
1.0,0.0001008145818211146,1.2077885055590017e-16
1.0,0.00010081661457808247,1.2078582288020746e-16
1.0,0.00010081864741702625,1.2136021845400253e-16
1.0,0.00010082068033795092,1.2226906682800589e-16
1.0,0.00010082271334086143,1.2438150972552663e-16
1.0,0.00010082474642576273,1.252213568084116e-16
1.0,0.00010082677959265981,1.2651032473474628e-16
1.0,0.0001008288128415576,1.2716608492326794e-16
1.0,0.00010083084617246107,1.2870124142501678e-16
1.0,0.0001008328795853752,1.293253643608177e-16
1.0,0.00010083491308030492,1.2993000214793135e-16
1.0,0.00010083694665725522,1.318696728506503e-16
1.0,0.00010083898031623104,1.3197607812572698e-16
1.0,0.00010084101405723735,1.328266837369307e-16
1.0,0.00010084304788027914,1.335972923385e-16
1.0,0.00010084508178536132,1.3422802556231124e-16
1.0,0.0001008471157724889,1.3686162943464658e-16
1.0,0.00010084914984166683,1.392593578764202e-16
1.0,0.00010085118399290007,1.3957945724678065e-16
1.0,0.0001008532182261936,1.4115990412406468e-16
1.0,0.00010085525254155236,1.4195883746184586e-16
1.0,0.00010085728693898134,1.4264289626926125e-16
1.0,0.0001008593214184855,1.4301736973849343e-16
1.0,0.0001008613559800698,1.450594463850524e-16
1.0,0.0001008633906237392,1.4527202458604926e-16
1.0,0.0001008654253494987,1.4706224483374094e-16
1.0,0.00010086746015735324,1.5087701663368022e-16
1.0,0.00010086949504730779,1.5172340694073098e-16
1.0,0.00010087153001936733,1.517984178210696e-16
1.0,0.00010087356507353683,1.527790384198196e-16
1.0,0.00010087560020982124,1.5365283960302673e-16
1.0,0.00010087763542822556,1.5482411634586641e-16
1.0,0.00010087967072875474,1.5629106991367125e-16
1.0,0.00010088170611141375,1.5636272557219505e-16
1.0,0.00010088374157620758,1.5671024751274885e-16
1.0,0.00010088577712314118,1.5719536179595216e-16
1.0,0.00010088781275221953,1.5848919537120867e-16
1.0,0.0001008898484634476,1.5865719669847826e-16
1.0,0.00010089188425683038,1.586875255144059e-16
1.0,0.00010089392013237283,1.5882386221584595e-16
1.0,0.00010089595609007991,1.6004156766330887e-16
1.0,0.00010089799212995662,1.6241789150804032e-16
1.0,0.00010090002825200791,1.6445229092752303e-16
1.0,0.00010090206445623877,1.651858345291247e-16
1.0,0.00010090410074265418,1.6676800711352354e-16
1.0,0.00010090613711125911,1.6703529629455874e-16
1.0,0.00010090817356205853,1.6947289891069182e-16
1.0,0.00010091021009505742,1.7046877215465103e-16
1.0,0.00010091224671026075,1.7120530080925943e-16
1.0,0.00010091428340767353,1.7665186259823035e-16
1.0,0.00010091632018730069,1.7746782134345455e-16
1.0,0.00010091835704914725,1.7748219333020168e-16
1.0,0.00010092039399321815,1.7782269068025084e-16
1.0,0.0001009224310195184,1.7919518604592155e-16
1.0,0.00010092446812805296,1.810854674567883e-16
1.0,0.00010092650531882682,1.8201259596045477e-16
